family,scope,model,channel,regime,defense,benign_x,benign_n,adv_x,adv_n,adv_rate,benign_rate,raw_p,holm_p,significant_holm_0.05
A_benign_vs_adversarial,pooled_table_III,pooled_5_models,both,Baseline,none,60,998,154,972,15.84,6.01,1.672645197798515e-12,1.572286485930604e-10,True
A_benign_vs_adversarial,pooled_table_III,pooled_5_models,both,Prompt-only,none,57,1000,221,983,22.48,5.7,2.6107663895064305e-28,3.002381347932395e-26,True
A_benign_vs_adversarial,pooled_table_III,pooled_5_models,both,Controller-only,none,30,599,436,546,79.85,5.01,9.013873529083532e-167,1.288983914658945e-164,True
A_benign_vs_adversarial,pooled_table_III,pooled_5_models,both,Conservative,none,0,599,469,562,83.45,0.0,4.4062118652943285e-231,6.344945086023833e-229,True
A_benign_vs_adversarial,pooled_table_IV_overall,pooled_5_models,both,all,none,147,3196,1280,3063,41.79,4.6,3.11952612055832e-298,4.523312874809564e-296,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen2.5-14B,url,Baseline,none,0,100,0,76,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen2.5-14B,url,Prompt-only,none,0,100,0,91,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen2.5-14B,url,Controller-only,none,0,60,40,40,100.0,0.0,7.274719675172516e-29,8.511422019951844e-27,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen2.5-14B,url,Conservative,none,0,60,46,46,100.0,0.0,3.994418951753111e-31,4.793302742103733e-29,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen2.5-7B,url,Baseline,none,0,100,0,100,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen2.5-7B,url,Prompt-only,none,0,100,0,100,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen2.5-7B,url,Controller-only,none,30,60,60,60,100.0,50.0,1.3934349938036929e-11,1.2958945442374344e-09,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen2.5-7B,url,Conservative,none,0,60,60,60,100.0,0.0,2.070073888186964e-35,2.9188041823436194e-33,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen3-4B,url,Baseline,none,0,100,0,100,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen3-4B,url,Prompt-only,none,0,100,0,100,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen3-4B,url,Controller-only,none,0,60,0,60,0.0,0.0,1.0,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen3-4B,url,Conservative,none,0,60,0,60,0.0,0.0,1.0,1.0,False
