family,scope,model,channel,regime,defense,none_x,none_n,defense_x,defense_n,none_rate,defense_rate,raw_p,holm_p,significant_holm_0.05
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,url,Baseline,budget_cap,0,80,6,84,0.0,7.14,0.02869797453080715,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,url,Baseline,d_mtd,0,80,0,90,0.0,0.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,url,Baseline,early_abort,0,80,0,79,0.0,0.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,url,Prompt-only,budget_cap,0,88,2,87,0.0,2.3,0.24571428571428572,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,url,Prompt-only,d_mtd,0,88,0,96,0.0,0.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,url,Prompt-only,early_abort,0,88,0,91,0.0,0.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,url,Controller-only,budget_cap,40,40,44,44,100.0,100.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,url,Controller-only,d_mtd,40,40,0,57,100.0,0.0,3.4375282626399644e-28,2.1656428054631775e-26,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,url,Controller-only,early_abort,40,40,3,51,100.0,5.88,1.155216243028296e-22,6.584732585261287e-21,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,url,Conservative,budget_cap,45,45,54,54,100.0,100.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,url,Conservative,d_mtd,45,45,0,57,100.0,0.0,5.042318268603259e-30,3.2775068745921182e-28,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,url,Conservative,early_abort,45,45,5,48,100.0,10.42,3.8034072344613396e-21,2.0918739789537368e-19,True
